,ORIG_FID,OBJECTID *,NAME,BOROUGH,Long,Lat,Length,Width,Diameter,Radius
121,121,122,Gooshays,Havering,0.231191,51.614933,3954.222007,3156.654798,5059.677973,2530
122,122,123,Hylands,Havering,0.198344,51.563509,2505.849067,1679.351822,3016.538097,1508
123,123,124,Heathrow Villages,Hillingdon,-0.458741,51.477272,6521.667447,4880.167101,8145.439044,4073
124,124,125,Harefield,Hillingdon,-0.476231,51.598466,7253.290085,3645.253587,8117.763902,4059
125,125,126,West Drayton,Hillingdon,-0.470327,51.50266,3214.669078,1762.085148,3665.929807,1833
126,126,127,Yiewsley,Hillingdon,-0.466115,51.515998,3340.127265,2094.80479,3942.671335,1971
127,127,128,Uxbridge South,Hillingdon,-0.484445,51.535047,3602.737566,1511.804988,3907.079765,1954
128,128,129,Brunel,Hillingdon,-0.464129,51.528144,2923.473854,2533.037143,3868.200685,1934
129,129,130,Uxbridge North,Hillingdon,-0.464628,51.546981,2755.777767,2426.572606,3671.861342,1836
130,130,131,Hillingdon East,Hillingdon,-0.437916,51.542509,2799.428413,2647.826372,3853.282229,1927
131,131,132,Ickenham,Hillingdon,-0.46035,51.564814,4517.633368,2037.475746,4955.836828,2478
132,132,133,West Ruislip,Hillingdon,-0.437986,51.5811,3659.422675,2030.255847,4184.891052,2092
133,133,134,Northwood,Hillingdon,-0.436683,51.60579,3398.295773,3314.638062,4747.129621,2374
134,134,135,South Ruislip,Hillingdon,-0.408674,51.555177,4232.053498,3154.43979,5278.329963,2639
135,135,136,Manor,Hillingdon,-0.413917,51.568642,1901.391739,1688.920847,2543.176001,1272
136,136,137,Eastcote and East Ruislip,Hillingdon,-0.412299,51.583178,3154.952925,2125.580857,3804.184793,1902
137,137,138,Northwood Hills,Hillingdon,-0.409594,51.598838,2998.667918,2031.672953,3622.113233,1811
138,138,139,Pinkwell,Hillingdon,-0.433461,51.498579,2946.989295,1212.131435,3186.535504,1593
139,139,140,Botwell,Hillingdon,-0.43314,51.512329,3414.222256,2351.46829,4145.638278,2073
140,140,141,Charville,Hillingdon,-0.426788,51.532274,2038.928122,2015.996748,2867.310722,1434
141,141,142,Townfield,Hillingdon,-0.40973,51.511524,2711.559293,1866.811105,3292.04154,1646
142,142,143,Barnhill,Hillingdon,-0.407151,51.525194,1771.433435,1686.448647,2445.830218,1223
143,143,144,Yeading,Hillingdon,-0.389108,51.523196,1937.004479,1635.674821,2535.235388,1268
144,144,145,Cavendish,Hillingdon,-0.396547,51.570322,2024.698228,1443.868424,2486.796924,1243
145,145,146,Roxeth,Harrow,-0.364485,51.559625,2158.161489,916.001028,2344.508242,1172
146,146,147,Harrow on the Hill,Harrow,-0.339916,51.568295,2485.229976,2319.553989,3399.514486,1700
147,147,148,Pinner,Harrow,-0.389439,51.60315,3221.325456,1812.321008,3696.139219,1848
148,148,149,Pinner South,Harrow,-0.385147,51.585799,2993.411599,1471.670879,3335.615112,1668
149,149,150,Greenhill,Harrow,-0.332011,51.582111,1924.575854,1530.072624,2458.681446,1229
150,150,151,Headstone North,Harrow,-0.364077,51.594307,2844.661011,1929.13823,3437.102061,1719
151,151,152,Marlborough,Harrow,-0.334392,51.592857,2094.639163,1484.993592,2567.629099,1284
152,152,153,Harrow Weald,Harrow,-0.346959,51.614436,3117.626615,2212.466199,3822.904968,1911
153,153,154,Stanmore Park,Harrow,-0.324798,51.618134,3399.720649,1934.014536,3911.331323,1956
154,154,155,Canons,Harrow,-0.3057,51.623011,4487.165934,1954.054779,4894.179012,2447
155,155,156,Rayners Lane,Harrow,-0.375843,51.573809,1854.368119,1641.223711,2476.347389,1238
156,156,157,Roxbourne,Harrow,-0.367728,51.56609,2329.091199,1231.680545,2634.711138,1317
157,157,158,West Harrow,Harrow,-0.357322,51.577786,1702.630247,1568.710666,2315.124816,1158
158,158,159,Hatch End,Harrow,-0.371352,51.610132,2560.840568,2409.243735,3516.01476,1758
159,159,160,Headstone South,Harrow,-0.351105,51.586766,1757.287339,1344.890885,2212.869242,1106
160,160,161,Kenton West,Harrow,-0.316139,51.590752,1931.409573,1519.905125,2457.733616,1229
161,161,162,Wealdstone,Harrow,-0.337109,51.599833,1574.541114,1285.980816,2032.960004,1016
162,162,163,Belmont,Harrow,-0.310035,51.604453,1870.836822,1688.347378,2520.029223,1260
